context_id,id,context,claim,evidence_text,response_label,pronoun_info,referent_info
fdr__408___0,fdr__408___0--0,"[""I love watching shows on Netflix, do you know what it is?""]",me too. It streams media and video on demand.You can even rent DVD's through mail.,It specializes in and provides streaming media and video-on-demand online and DVD by mail.,HALLUCINATION,"{""surface"": ""It"", ""span"": [8, 10]}","{""mentions"": [{""surface"": ""Netflix"", ""span"": [0, 25, 32]}]}"
fdr__408___1,fdr__408___1--0,"[""I love watching shows on Netflix, do you know what it is?"", ""I do. It is a service to stream media and videos online. Did you also know it can provide DVDs by mail?"", ""Wow I did not know you could rent DVDs from them! Do you know when Netflix started?""]","Yep, It actually was founded by Reed Hastings and Marc Randolph on August 29, 1997, in Scotts Valley, California.","Netflix is an American entertainment company founded by Reed Hastings and Marc Randolph on August 29, 1997, in Scotts Valley, California.",NON-HALLUCINATION,"{""surface"": ""It"", ""span"": [5, 7]}","{""mentions"": [{""surface"": ""Netflix"", ""span"": [0, 25, 32]}, {""surface"": ""Netflix"", ""span"": [2, 67, 74]}]}"
fdr__408___2,fdr__408___2--0,"[""I love watching shows on Netflix, do you know what it is?"", ""I do. It is a service to stream media and videos online. Did you also know it can provide DVDs by mail?"", ""Wow I did not know you could rent DVDs from them! Do you know when Netflix started?"", ""Yep, It actually was founded by Reed Hastings and Marc Randolph on August 29, 1997, in Scotts Valley, California."", ""Wow! What else do you know about Netflix?""]",I'm really liking their originals. They started production of those in 2013.,"In 2013, Netflix expanded into film and television production as well as online distribution.",HALLUCINATION,"{""surface"": ""They"", ""span"": [35, 39]}","{""mentions"": [{""surface"": ""Netflix"", ""span"": [0, 25, 32]}, {""surface"": ""Netflix"", ""span"": [2, 67, 74]}, {""surface"": ""Netflix"", ""span"": [4, 33, 40]}]}"
fdr__408___3,fdr__408___3--0,"[""I love watching shows on Netflix, do you know what it is?"", ""I do. It is a service to stream media and videos online. Did you also know it can provide DVDs by mail?"", ""Wow I did not know you could rent DVDs from them! Do you know when Netflix started?"", ""Yep, It actually was founded by Reed Hastings and Marc Randolph on August 29, 1997, in Scotts Valley, California."", ""Wow! What else do you know about Netflix?"", ""Netflix in 2013 started expanding into television and film production."", ""Yeah, I heard of and sorta remember that. What was their first original content?""]",I haven't seen that one yet. Still watching House of Card. That was their first series in 2013. I don't know what they will do without Spacey.,"Netflix entered the content-production industry in 2013, debuting its first series, ''House of Cards''.",HALLUCINATION,"{""surface"": ""they"", ""span"": [114, 118]}","{""mentions"": [{""surface"": ""Netflix"", ""span"": [0, 25, 32]}, {""surface"": ""Netflix"", ""span"": [2, 67, 74]}, {""surface"": ""Netflix"", ""span"": [4, 33, 40]}, {""surface"": ""Netflix"", ""span"": [5, 0, 7]}]}"
fdr__409___1,fdr__409___1--0,"[""I like science fiction and alien movies and shows. Do those interest you?"", ""As I am a bot I don't have preferences. But I know that sci-fi films uses depictions of phenomena based on fictional science not completely accepted by the mainstream science"", ""I liked the Star Wars movies and the Alien movies were pretty intense too,""]",I wish I was able to see Star Wars in 1977 when it came out.,Star Wars (later retitled Star Wars: Episode IV – A New Hope) is a 1977 American epic space opera film written and directed by George Lucas.,HALLUCINATION,"{""surface"": ""it"", ""span"": [48, 50]}","{""mentions"": [{""surface"": ""Star Wars"", ""span"": [2, 12, 21]}]}"
fdr__409___4,fdr__409___4--0,"[""I like science fiction and alien movies and shows. Do those interest you?"", ""As I am a bot I don't have preferences. But I know that sci-fi films uses depictions of phenomena based on fictional science not completely accepted by the mainstream science"", ""I liked the Star Wars movies and the Alien movies were pretty intense too,"", ""Yeah, did you know that star wars came out in 1977?"", ""I didn't know it was that old. What else do you know abou it ?"", ""Well, I know that it starred Harrison Ford, Mark Hamil, Carrie Fisher among other people"", ""Very interesting. I think I saw almost all of those movies"", ""Cool. Did you ever see The Empire Strikes Back in 1980?"", ""It's been so long I need to see it again to remember what it was about.""]",It is set three years after the original Star Wars.,The film is set three years after ''Star Wars''.,HALLUCINATION,"{""surface"": ""It"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""The Empire Strikes Back"", ""span"": [7, 23, 46]}]}"
fdr__412___2,fdr__412___2--0,"[""Going on vacation this summer?"", ""As I am a bot that question is to applicable to me. Have you ever been to the beach ? It is a landform that goes alongside a mass of water"", ""Oh I love the beach!"", ""Cool, did you know that the particles that compose a beach are made from rock?"", ""Didn't know that. I want to go to a wild beach""]",I love it so much. We always hope to walk so far along the shore that we find undiscovered beaches,"Wild beaches, also known as undeveloped or undiscovered beaches, are not developed in this manner.",HALLUCINATION,"{""surface"": ""it"", ""span"": [7, 9]}","{""mentions"": [{""surface"": ""wild beach"", ""span"": [4, 36, 46]}]}"
fdr__412___3,fdr__412___3--0,"[""Going on vacation this summer?"", ""As I am a bot that question is to applicable to me. Have you ever been to the beach ? It is a landform that goes alongside a mass of water"", ""Oh I love the beach!"", ""Cool, did you know that the particles that compose a beach are made from rock?"", ""Didn't know that. I want to go to a wild beach"", ""That sounds interesting. It is interesting to think that a wild beach is a undiscovered one."", ""Nice! I love trying to find shells and sharks' teeth.""]","Hey, you know what they say, right? A shark will shed 35,000 teeth in their lifetime. You have good odds finding a few lol","Sharks continually shed their teeth; some Carcharhiniformes shed approximately 35,000 teeth in a lifetime, replacing those that fall out.",HALLUCINATION,"{""surface"": ""they"", ""span"": [19, 23]}","{""mentions"": [{""surface"": ""teeth"", ""span"": [6, 47, 52]}]}"
fdr__413___0,fdr__413___0--0,"[""Have you ever seen the movie The Last of the Mohicans? My husband loves it, but I've never seen it.""]",Yea it was a great movie. The Last of the Mohicans was released in 1992.,"The Last of the Mohicans is a 1992 American epic historical drama, set in 1757 during the French and Indian War.",HALLUCINATION,"{""surface"": ""it"", ""span"": [4, 6]}","{""mentions"": [{""surface"": ""The Last of the Mohicans"", ""span"": [0, 29, 53]}]}"
fdr__413___1,fdr__413___1--0,"[""Have you ever seen the movie The Last of the Mohicans? My husband loves it, but I've never seen it."", ""All I know about this movies is that is was released in 1992 and set in 1757"", ""I didn't realize it's been out that long! What is it about?""]",Well The Last of the Mohicans is an epic historical drama. It was set in 1757 during the Indian and French war.,"The Last of the Mohicans is a 1992 American epic historical drama, set in 1757 during the French and Indian War.",NON-HALLUCINATION,"{""surface"": ""It"", ""span"": [59, 61]}","{""mentions"": [{""surface"": ""The Last of the Mohicans"", ""span"": [0, 29, 53]}]}"
