context_id,id,context,claim,evidence_text,response_label,pronoun_info,referent_info
fdt__0___2,fdt__0___2--0,"[""I love candy, what's a good brand?"", ""I haven't got a clue how good they are, but Dylan's Candy Bar has a chain of candy shops in various cities."", ""Oh, they do? What kind of candy do they sell?"", ""I'm probably not the best system to ask for that information, really, but they also are a supplier of candy."", ""Oh I see, what kind of candy do they offer?""]",it stocks over 7000 candies from across the world,"It stocks 7,000 candies from around the world.",NON-HALLUCINATION,"{""surface"": ""it"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""Dylan's Candy Bar"", ""span"": [1, 44, 61]}]}"
fdt__2___0,fdt__2___0--0,"[""My favorite color is green.  I love Money, green lights when i am driving, and the color of plants.  Green is fantastic!!!""]",Green is great! it is between blue and yellow on the visible spectrum.,Green is the color between blue and yellow on the visible spectrum.,HALLUCINATION,"{""surface"": ""it"", ""span"": [16, 18]}","{""mentions"": [{""surface"": ""green"", ""span"": [0, 21, 26]}, {""surface"": ""green"", ""span"": [0, 43, 48]}, {""surface"": ""Green"", ""span"": [0, 101, 106]}]}"
fdt__5___0,fdt__5___0--0,"[""Have you heard of the band Guns N' Roses?""]","I have! They released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.; that's amazing!","Guns N' Roses has released six studio albums, accumulating sales of more than 100 million records worldwide, including 45 million in the United States, making them the 41st best-selling artist of all time.",HALLUCINATION,"{""surface"": ""They"", ""span"": [8, 12]}","{""mentions"": [{""surface"": ""Guns N' Roses"", ""span"": [0, 27, 40]}]}"
fdt__7___3,fdt__7___3--0,"[""Do you like medical science or have you ever considered being a paramedic?"", ""No, are you interested in working in a pre-hospital or out-of-hospital environment, since that is where paramedics are mainly."", ""Yeah, I'm a few years away from complete ling my biological science degree and interested in medical science stuff. Paramedics work on EMS right?"", ""Yes, they are mostly a part of the emergency medical services like with an ambulance."", ""I see, it feels incredibly hectic, like emergency medicine and seems quite stressful. They must have a lot of responsibilities right?"", ""Well, while the scope of their practice vary from country to country, they typically have to make autonomous decisions on the emergency care of a patient."", ""Yeah I bet. They must be very well trained.""]",Also the driving for paramedics during emergencies must be insane as well with the position and role they hold,"The paramedic role is closely related to other healthcare positions, especially the emergency medical technician role, with paramedics often being a higher grade role, with more responsibility and autonomy.",HALLUCINATION,"{""surface"": ""they"", ""span"": [101, 105]}","{""mentions"": [{""surface"": ""a paramedic"", ""span"": [0, 62, 73]}, {""surface"": ""paramedics"", ""span"": [1, 104, 114]}, {""surface"": ""Paramedics"", ""span"": [2, 116, 126]}]}"
fdt__14___3,fdt__14___3--0,"[""I used to love watching cheerleading back in college."", ""Nice, so you liked to cheer for teams as a form of encouragement?"", ""Yes, chanting slogans is awesome. Have you ever been a cheerleader?"", ""No I have not. The activities in cheerleading can range from chanting slogans to intense physical activity"", ""I see, I mostly enjoy the chanting of slogans. What else do you know about cheerleading?"", ""It is performed to motivate sports teams, entertain the audience, or for competition."", ""So, when did cheerleading originate?""]",It started in  the late 18th century with the rebellion of male students.,Cheerleading began during the late 18th century with the rebellion of male students.,NON-HALLUCINATION,"{""surface"": ""It"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""cheerleading"", ""span"": [0, 24, 36]}, {""surface"": ""cheerleading"", ""span"": [3, 33, 45]}, {""surface"": ""cheerleading"", ""span"": [4, 75, 87]}, {""surface"": ""cheerleading"", ""span"": [6, 13, 25]}]}"
fdt__22___1,fdt__22___1--0,"[""Hello"", ""Hi, Do you enjoy Elvis Presley, the musician, singer and actor?"", ""yes, I do. I am familiar with his big hits""]",He was born Elvis Aaron Presley!  I actually really like his whole name.,"Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer, musician, and actor.",HALLUCINATION,"{""surface"": ""He"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""Elvis Presley"", ""span"": [1, 17, 30]}]}"
fdt__26___2,fdt__26___2--0,"[""Do you happen to have a cardigan? They make great sweaters!"", ""Bots don't have such things. Have you ever seen the more modern version of the cardigan? It has no buttons."", ""I have never seen it, what else do you know about cardigans?"", ""Well, I know that they were modelled after waistcoats that British officers used during war"", ""I did not know that. The Brits have a history of crazy attire. The red coats in war almost brought them a tactical disadvantage most of the time""]","I agree, ever since the mid-17th Century when they wore them.","From the mid-17th century to the 19th century, the uniform of most British soldiers (apart from artillery, rifles and light cavalry) included a madder red coat or coatee.",HALLUCINATION,"{""surface"": ""they"", ""span"": [46, 50]}","{""mentions"":[{""surface"":""British officers"",""span"":[3,59,75]},{""surface"":""The Brits"",""span"":[4,21,30]}]}"
fdt__29___1,fdt__29___1--0,"[""Do you know much about Genghis Khan? hes a really interesting figure."", ""I know that he was the Great Khan, and that he was born in 1162."", ""Oh where did he orginate? Somewhere in china?""]",He was actually the founder of the Mongol empire!,"Genghis Khan or Chinggis Khaan (born Temüjin, c. 1162 August 18, 1227), was the Great Khan and founder of the Mongol Empire, which became the largest contiguous empire in history after his death.",NON-HALLUCINATION,"{""surface"": ""He"", ""span"": [0, 2]}","{""mentions"": [{""surface"": ""Genghis Khan"", ""span"": [0, 23, 35]}]}"
fdt__29___3,fdt__29___3--0,"[""Do you know much about Genghis Khan? hes a really interesting figure."", ""I know that he was the Great Khan, and that he was born in 1162."", ""Oh where did he orginate? Somewhere in china?"", ""I'm not sure where he was from, exactly, but he was the founder of the Mongol Empire."", ""How long did his reign last? When did he die off?"", ""I don't know either of those answers, but he amassed power by uniting the nomadic tribes in Northeast Asia."", ""So he was basially a raider and conqueror?""]","Exactly, he launched Mongol invasions and conquered the majority of Eurasia.","After founding the Empire and being proclaimed ''Genghis Khan'', he launched the Mongol invasions that conquered most of Eurasia.",NON-HALLUCINATION,"{""surface"": ""he"", ""span"": [9, 11]}","{""mentions"": [{""surface"": ""Genghis Khan"", ""span"": [0, 23, 35]}]}"
fdt__30___0,fdt__30___0--0,"[""I like American football. What is your favorite team?""]",I really like football it's an awesome american sport I like the patriots,"American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.",HALLUCINATION,"{""surface"": ""it"", ""span"": [23, 25]}","{""mentions"": [{""surface"": ""American football"", ""span"": [0, 7, 24]}]}"
